,Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,year,month,month_name,day,day_of_week,rt_normalized,profit,profit_ratio,overseas_gross
0,The Land Girls,146083.0,146083.0,,8000000.0,1998-06-12,R,,Gramercy,,,,,,6.1,1071.0,1998,6,June,12,Friday,,-7853917.0,-0.981739625,0.0
1,"First Love, Last Rites",10876.0,10876.0,,300000.0,1998-08-07,R,,Strand,,Drama,,,,6.9,207.0,1998,8,August,7,Friday,,-289124.0,-0.9637466666666666,0.0
2,I Married a Strange Person,203134.0,203134.0,,250000.0,1998-08-28,,,Lionsgate,,Comedy,,,,6.8,865.0,1998,8,August,28,Friday,,-46866.0,-0.187464,0.0
3,Let's Talk About Sex,373615.0,373615.0,,300000.0,1998-09-11,,,Fine Line,,Comedy,,,13.0,,,1998,9,September,11,Friday,1.3,73615.0,0.24538333333333334,0.0
4,Slam,1009819.0,1087521.0,,1000000.0,1998-10-09,R,,Trimark,Original Screenplay,Drama,Contemporary Fiction,,62.0,3.4,165.0,1998,10,October,9,Friday,6.2,87521.0,0.087521,77702.0
5,Mississippi Mermaid,24551.0,2624551.0,,1600000.0,1999-01-15,,,MGM,,,,,,,,1999,1,January,15,Friday,,1024551.0,0.640344375,2600000.0
6,Following,44705.0,44705.0,,6000.0,1999-04-04,R,,Zeitgeist,,,,Christopher Nolan,,7.7,15133.0,1999,4,April,4,Sunday,,38705.0,6.450833333333334,0.0
7,Foolish,6026908.0,6026908.0,,1600000.0,1999-04-09,R,,Artisan,Original Screenplay,Comedy,Contemporary Fiction,,,3.8,353.0,1999,4,April,9,Friday,,4426908.0,2.7668175,0.0
8,Pirates,1641825.0,6341825.0,,40000000.0,1986-07-01,R,,,,,,Roman Polanski,25.0,5.8,3275.0,1986,7,July,1,Tuesday,2.5,-33658175.0,-0.841454375,4700000.0
9,Duel in the Sun,20400000.0,20400000.0,,6000000.0,2046-12-31,,,,,,,,86.0,7.0,2906.0,1946,12,December,31,Monday,8.6,14400000.0,2.4,0.0
10,Tom Jones,37600000.0,37600000.0,,1000000.0,1963-10-07,,,,,,,,81.0,7.0,4035.0,1963,10,October,7,Monday,8.1,36600000.0,36.6,0.0
11,Oliver!,37402877.0,37402877.0,,10000000.0,1968-12-11,,,Sony Pictures,,Musical,,,84.0,7.5,9111.0,1968,12,December,11,Wednesday,8.4,27402877.0,2.7402877,0.0
12,To Kill A Mockingbird,13129846.0,13129846.0,,2000000.0,1962-12-25,,,Universal,,,,,97.0,8.4,82786.0,1962,12,December,25,Tuesday,9.7,11129846.0,5.564923,0.0
13,"Tora, Tora, Tora",29548291.0,29548291.0,,25000000.0,1970-09-23,,,,,,,Richard Fleischer,,,,1970,9,September,23,Wednesday,,4548291.0,0.18193164,0.0
14,Hollywood Shuffle,5228617.0,5228617.0,,100000.0,1987-03-01,,,,,,,,87.0,6.8,1532.0,1987,3,March,1,Sunday,8.7,5128617.0,51.28617,0.0
15,Over the Hill to the Poorhouse,3000000.0,3000000.0,,100000.0,2020-09-17,,,,,,,,,,,1920,9,September,17,Thursday,,2900000.0,29.0,0.0
16,Wilson,2000000.0,2000000.0,,5200000.0,2044-08-01,,,,,,,,,7.0,451.0,1944,8,August,1,Monday,,-3200000.0,-0.6153846153846154,0.0
17,Darling Lili,5000000.0,5000000.0,,22000000.0,1970-01-01,,,,,,,Blake Edwards,,6.1,858.0,1970,1,January,1,Thursday,,-17000000.0,-0.7727272727272727,0.0
18,The Ten Commandments,80000000.0,80000000.0,,13500000.0,1956-10-05,,,,,,,,90.0,2.5,1677.0,1956,10,October,5,Friday,9.0,66500000.0,4.925925925925926,0.0
19,12 Angry Men,0.0,0.0,,340000.0,1957-04-13,,,United Artists,Original Screenplay,Drama,,Sidney Lumet,,8.9,119101.0,1957,4,April,13,Saturday,,-340000.0,-1.0,0.0
